网络事件统计

事件类型统计结果
蠕虫病毒 : 2406
僵木控制 : 239
僵木受控 : 4424


运营商统计结果
铁通 : 51
联通 : 1482
移动 : 42
电信 : 4694
 : 800


事件类型下的运营商统计结果
蠕虫病毒-铁通 : 8
蠕虫病毒-联通 : 437
蠕虫病毒-移动 : 18
蠕虫病毒-电信 : 1626
蠕虫病毒- : 317
僵木控制-铁通 : 5
僵木控制-联通 : 24
僵木控制-移动 : 2
僵木控制-电信 : 177
僵木控制- : 31
僵木受控-铁通 : 38
僵木受控-联通 : 1021
僵木受控-移动 : 22
僵木受控-电信 : 2891
僵木受控- : 452


运营商下的事件类型统计结果
铁通-蠕虫病毒 : 8
铁通-僵木控制 : 5
铁通-僵木受控 : 38
联通-蠕虫病毒 : 437
联通-僵木控制 : 24
联通-僵木受控 : 1021
移动-蠕虫病毒 : 18
移动-僵木控制 : 2
移动-僵木受控 : 22
电信-蠕虫病毒 : 1626
电信-僵木控制 : 177
电信-僵木受控 : 2891
-蠕虫病毒 : 317
-僵木控制 : 31
-僵木受控 : 452


